Index,Name,Effect,Type,Category,Power,Accuracy,PP,Generation
214,Sleep Talk,Does nothing if the user is awake. If the user asleep it randomly performs one of its attacks. Rest will fail if it is selected. Sleep Talk's generated attacks do not cost PP but it cannot generate moves with 0 PP itself Assist Bide Chatter Copycat Disabled attacks Focus Punch Me First Metronome Mirror Move Uproar or attacks with a charge-up turn like Fly or Skull Bash. (Moves with a recharge turn like Hyper Beam can be generated.),Normal,Status,0,0,10,2
215,Heal Bell,Every Pokemon in the user's party is cured of status conditions. Allied Pokemon who have Soundproof are not affected.,Normal,Status,0,0,5,2
216,Return,Power increases as user's happiness increases; maximum 102 BP.,Normal,Physical,0,100,20,2
217,Present,Randomly either attacks with a variable power between 40 base power and 120 base power or heals the target by 80 HP.,Normal,Physical,0,90,15,2
218,Frustration,Power increases as user's happiness decreases; maximum 102 BP.,Normal,Physical,0,100,20,2
219,Safeguard,Protects the user's entire team from status conditions for five turns.,Normal,Status,0,0,25,2
220,Pain Split,Calculates the average of the user's current HP and the target's HP; the HP of both Pokemon is set to this average. Pokemon can be healed by Pain Split even under the effects of Heal Block.,Normal,Status,0,0,20,2
221,Sacred Fire,Has a 50% chance to burn the target; can be used while frozen which both attacks the target normally and thaws the user.,Fire,Physical,100,95,5,2
222,Magnitude,Deals variable damage between 10 base power and 130 base power as well as double damage against Digging Pokemon.,Ground,Physical,0,100,30,2
223,Dynamic Punch,Confuses the target.,Fighting,Physical,100,50,5,2
224,Megahorn,Deals damage with no additional effect.,Bug,Physical,120,85,10,2
225,Dragon Breath,Has a 30% chance to paralyze the target.,Dragon,Special,60,100,20,2
226,Baton Pass,The user returns to its party bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative including from Charge and Stockpile) as well as confusion Focus Energy/Lansat Berry boosts Ingrain Aqua Ring Embargo Gastro Acid Power Trick Magnet Rise Stockpiles Perish Song count Mist Leech Seed Ghost Curses Mind Reader Lock-On Block Mean Look Spider Web and Substitute to the replacement Pokemon.,Normal,Status,0,0,40,2
227,Encore,The target is forced to use its last attack for the next 3 turns. The effects of this move will end immediately if the target runs out of PP for the repeated attack. In double battles a Pokemon who has received an Encore will target a random opponent with single-target attacks.,Normal,Status,0,100,5,2
228,Pursuit,If the target switches out on the current turn this move strikes with doubled power before the switch. Baton Passers still escape safely. When a faster Pokemon uses Pursuit against a U-Turner the U-Turner is hit for normal damage; when a slower Pokemon uses Pursuit against a U-Turner the U-Turner makes its attack then is hit by Pursuit for double power and switches out.,Dark,Physical,40,100,20,2
229,Rapid Spin,Removes Spikes Stealth Rock Toxic Spikes and Leech Seed from the user's side of the field; also frees the user from Bind Clamp Fire Spin Magma Storm Sand Tomb Whirlpool and Wrap. These effects do not occur if the move misses or is used against Ghost-type Pokemon.,Normal,Physical,20,100,40,2
230,Sweet Scent,Lowers the target's Evasion by 1 stage.,Normal,Status,0,100,20,2
231,Iron Tail,Has a 30% chance to lower the target's Defense by 1 stage.,Steel,Physical,100,75,15,2
232,Metal Claw,Has a 10% chance to raise the user's Attack by 1 stage.,Steel,Physical,50,95,35,2
233,Vital Throw,This move usually goes last. It ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Fighting,Physical,70,0,10,2
234,Morning Sun,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.,Normal,Status,0,0,5,2
235,Synthesis,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.,Grass,Status,0,0,5,2
236,Moonlight,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.,Fairy,Status,0,0,5,2
237,Hidden Power,Varies in power and type depending on the user's IVs; maximum 70 BP.,Normal,Special,60,100,15,2
238,Cross Chop,Has a high critical hit ratio.,Fighting,Physical,100,80,5,2
239,Twister,Has a 20% chance to make the target flinch; power doubles while the target is in mid-air via Fly or Bounce.,Dragon,Special,40,100,20,2
240,Rain Dance,Cancels all other weather moves. For 5 turns: the power of Water attacks is increased by 50% the power of Fire attacks is decreased by 50% Thunder never misses and has a 30% chance to hit through Protect and Detect the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is decreased from 1/2 to 1/4 of the user's max HP. The effects of Rain Dance will last for eight turns if its user is holding Damp Rock.,Water,Status,0,0,5,2
241,Sunny Day,Cancels all other weather moves. For 5 turns: freezing is prevented the power of Fire attacks is increased by 50% the power of Water attacks is decreased by 50% Solarbeam fires immediately Thunder becomes 50% accurate and the healing power of Morning Sun Synthesis and Moonlight is increased from 1/2 to 2/3 of the user's max HP. The effects of Sunny Day will last for eight turns if its user is holding Heat Rock.,Fire,Status,0,0,5,2
242,Crunch,Has a 20% chance to lower the target's Defense by 1 stage.,Dark,Physical,80,100,15,2
243,Mirror Coat,Almost always goes last; if an opponent strikes with a Special attack before the user's turn the user retaliates for twice the damage it had endured. In double battles this attack targets the last opponent to hit the user with a Special attack and cannot hit the user's teammate.,Psychic,Special,0,100,20,2
244,Psych Up,The user copies all six of the target's current stat modifiers.,Normal,Status,0,0,10,2
245,Extreme Speed,Usually goes first.,Normal,Physical,80,100,5,2
246,Ancient Power,Has a 10% chance to raise all of the user's stats by 1 stage.,Rock,Special,60,100,5,2
247,Shadow Ball,Has a 20% chance to lower the target's Special Defense by 1 stage.,Ghost,Special,80,100,15,2
248,Future Sight,This move even if the user and/or the target switch out will strike the active target at the end of the second turn after its use. Only one instance of Future Sight or Doom Desire may be active at a time.,Psychic,Special,120,0,10,2
249,Rock Smash,Has a 50% chance to lower the target's Defense by 1 stage.,Fighting,Physical,40,100,15,2
250,Whirlpool,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn. Base power also doubles when performed against a Pokemon in the middle of using Dive.,Water,Special,35,0,15,2
251,Beat Up,Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.,Dark,Physical,0,100,10,2
252,Fake Out,If this is the user's first move after being sent or switched into battle the target flinches; this move fails otherwise and against targets with Inner Focus.,Normal,Physical,40,100,10,3
253,Uproar,The user causes an Uproar and attacks uncontrollably for 3 turns. During the effects of the Uproar active Pokemon cannot fall asleep and sleeping Pokemon sent into battle will wake up.,Normal,Special,90,100,10,3
254,Stockpile,Can be used up to three times to power Spit Up or Swallow. Also raises the user's Defense and Special Defense by 1 stage each. Stockpiles and the defensive boosts are lost when these Swallow or Spit Up is used or the user switches out. However the boosts can be Baton Passed.,Normal,Status,0,0,20,3
255,Spit Up,Power increases with user's Stockpile count; fails with zero Stockpiles.,Normal,Special,0,100,10,3
256,Swallow,This move only works if the user has at least one Stockpile. Restores 1/4 of user's max HP with one Stockpile 1/2 of user's max HP with two Stockpiles and fully restores the user's HP with three Stockpiles.,Normal,Status,0,0,10,3
257,Heat Wave,Has a 10% chance to burn the target.,Fire,Special,95,90,10,3
258,Hail,Cancels all other weather moves. For 5 turns: Blizzard never misses and has a 30% chance to hit through Protect and Detect each active Pokemon even when protected by a Substitute loses 1/16 of its max HP unless it is an Ice-type the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is halved. The effects of Hail will last for eight turns if its user is holding Icy Rock.,Ice,Status,0,0,10,3
259,Torment,Prevents the target from using the same move for two turns in a row until the target is switched out. The target will use Struggle every other turn if it cannot attack without using the same move.,Dark,Status,0,100,15,3
260,Flatter,Confuses the target and raises its Special Attack by 1 stage.,Dark,Status,0,100,15,3
261,Will-O-Wisp,Burns the target. This move activates Flash Fire.,Fire,Status,0,0,15,3
262,Memento,The user sacrifices itself to lower the target's Attack and Special Attack by 2 stages each.,Dark,Status,0,100,10,3
263,Facade,Power doubles if the user is inflicted with burn paralysis or poison.,Normal,Physical,70,100,20,3
264,Focus Punch,At the beginning of the round the user tightens its focus; the attack itself usually goes last and will fail if the user is attacked by any other Pokemon during the turn.,Fighting,Physical,150,100,20,3
265,Smelling Salts,If the target is paralyzed power is doubled but the target will be cured.,Normal,Physical,70,100,10,3
266,Follow Me,Almost always goes first. For the rest of the turn all attacks from the opponent's team that target the user's team are redirected toward the user. In double battles the user's teammate will not be protected from attacks that have more than one intended target.,Normal,Status,0,0,20,3
267,Nature Power,The user generates another move depending on the battle's current terrain. It generates Seed Bomb in any type of grass (as well as in puddles) Hydro Pump while surfing on top of water Rock Slide on any rocky outdoor terrain and inside of caves Earthquake on beach sand desert sand and dirt paths (as well as Wifi) Blizzard in snow and Tri Attack everywhere else. In Battle Revolution the move generates Tri Attack at Courtyard Main Street and Neon Seed Bomb at Sunny Park and Waterfall Hydro Pump at Gateway Rock Slide at Crystal Magma and Stargazer and Earthquake at Sunset.,Normal,Status,0,0,20,3
268,Charge,Doubles the power of the user's Electric attacks on the next turn and increases the user's Special Defense by 1 stage.,Electric,Status,0,0,20,3
269,Taunt,Prevents the target from using non-damaging moves for 3 turns. Assist Copycat Me First Metronome Mirror Move and Sleep Talk are prevented during this time but Bide Counter Endeavor Metal Burst and Mirror Coat are not prevented.,Dark,Status,0,100,20,3
270,Helping Hand,Always goes first. In double battles the power of the user's partner's attacks is increased by 1.5x for that turn; does nothing in single battles.,Normal,Status,0,0,20,3
271,Trick,Exchanges items with the target unless it has Sticky Hold or Multitype. Items lost to this move cannot be recovered by using Recycle.,Psychic,Status,0,100,10,3
272,Role Play,The user's own ability is overwritten with the target's ability; does nothing if the target's ability is Wonder Guard.,Psychic,Status,0,0,10,3
273,Wish,At the end of the next turn the active Pokemon from the user's team is healed by 1/2 of the user's HP; this can be any member of the user's team.,Normal,Status,0,0,10,3
274,Assist,The user performs a random move from any of the Pokemon on its team. Assist cannot generate itself Chatter Copycat Counter Covet Destiny Bond Detect Endure Feint Focus Punch Follow Me Helping Hand Me First Metronome Mimic Mirror Coat Mirror Move Protect Sketch Sleep Talk Snatch Struggle Switcheroo Thief or Trick.,Normal,Status,0,0,20,3
275,Ingrain,The user recovers 1/16 of its max HP after each turn but it cannot be switched out or forced to switch out. If a Flying-type Pokemon or a Pokemon with Levitate comes under the effect of Ingrain it will no longer have immunity from Ground-type attacks.,Grass,Status,0,0,20,3
276,Superpower,Lowers the user's Attack and Defense by 1 stage each after use.,Fighting,Physical,120,100,5,3
277,Magic Coat,Almost always goes first. Until the end of the turn the user will reflect one disabling move back at its user (including teammates); these include status effect inducers confusion inducers (including Flatter and Swagger) Attract trapping moves that do not damage Leech Seed Worry Seed Gastro Acid and negative stat modifiers (except Defog). In double battles Magic Coat will only reflect the first applicable move performed against its user before wearing off.,Psychic,Status,0,0,15,3
278,Recycle,The user's lost item is recovered. Items lost to Bug Bite Fling Natural Gift and Pluck will be recovered if the user of Recycle was the item's original holder; items lost to Trick Switcheroo Thief Covet or Knock Off cannot be recovered.,Normal,Status,0,0,10,3
279,Revenge,Almost always goes last even after another Pokemon's Focus Punch; this move's base power doubles if the user is damaged before its turn.,Fighting,Physical,60,100,10,3
280,Brick Break,Reflect and Light Screen are removed from the target's field even if the attack misses or the target is a Ghost-type.,Fighting,Physical,75,100,15,3
281,Yawn,If the target stays in battle it falls asleep at the end of the next turn.,Normal,Status,0,0,10,3
282,Knock Off,Disables the target's held item unless it has Sticky Hold or Multitype. Items lost to this move cannot be recovered by using Recycle.,Dark,Physical,65,100,20,3
283,Endeavor,Inflicts damage equal to the target's current HP Varthe user's current HP.,Normal,Physical,0,100,5,3
284,Eruption,Base power decreases as the user's HP decreases.,Fire,Special,150,100,5,3
285,Skill Swap,The user exchanges abilities with the target; does not work if Wonder Guard is the ability of either the user or the target.,Psychic,Status,0,0,10,3
286,Imprison,Until the user faints or switches out the opponent cannot select any moves that it has in common with the user. In double battles this move affects both opponents.,Psychic,Status,0,0,10,3
287,Refresh,The user recovers from burn poison and paralysis.,Normal,Status,0,0,20,3
288,Grudge,The target's next move is set to 0 PP if it directly KOs the user.,Ghost,Status,0,0,5,3
289,Snatch,Almost always goes first. Until the end of the turn the user will steal a supporting move from another Pokemon (including teammates). In double battles Snatch only steals the first applicable move performed by another Pokemon before wearing off.,Dark,Status,0,0,10,3
290,Secret Power,This move has a 30% chance to inflict a side effect depending on the battle's current terrain. The target may be put to sleep in any type of grass (or in puddles) its Attack may be lowered by 1 stage while surfing on any body of water its Speed may be lowered by 1 stage while on marshy terrain its Accuracy may be lowered by 1 stage on beach sand desert sand and dirt paths (and also in Wifi battles) it may flinch in caves or on rocky outdoor terrain it may become frozen on snowy terrain and it may become paralyzed everywhere else.,Normal,Physical,70,100,20,3
291,Dive,On the first turn the user dives underwater becoming uncontrollable and evades all attacks except for Surf and Whirlpool which have doubled power; the user may also be hit underwater if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Water,Physical,80,100,10,3
292,Arm Thrust,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Fighting,Physical,15,100,20,3
293,Camouflage,The user's type changes according to the current terrain. It becomes Grass-type in tall grass and very tall grass (as well as in puddles) Water-type while surfing on any body of water Rock-type while inside any caves or on any rocky terrain Ground-type on beach sand desert sand and dirt roads Ice-type in snow and Normal-type everywhere else. The user will always become Normal-type during Wi-Fi battles. ,Normal,Status,0,0,20,3
294,Tail Glow,Raises the user's Special Attack by 2 stages.,Bug,Status,0,0,20,3
295,Luster Purge,Has a 50% chance to lower the target's Special Defense by 1 stage.,Psychic,Special,70,100,5,3
296,Mist Ball,Has a 50% chance to lower the target's Special Attack by 1 stage.,Psychic,Special,70,100,5,3
297,Feather Dance,Lowers the target's Attack by 2 stages.,Flying,Status,0,100,15,3
298,Teeter Dance,Each active Pokemon except the user becomes confused.,Normal,Status,0,100,20,3
299,Blaze Kick,Has a high critical hit ratio and a 10% chance to burn the target.,Fire,Physical,85,90,10,3
300,Mud Sport,All Electric-type moves are 50% weaker until the user switches out.,Ground,Status,0,0,15,3
301,Ice Ball,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.,Ice,Physical,30,90,20,3
302,Needle Arm,Has a 30% chance to make the target flinch.,Grass,Physical,60,100,15,3
303,Slack Off,Restores 1/2 of the user's max HP.,Normal,Status,0,0,10,3
304,Hyper Voice,Deals damage with no additional effect.,Normal,Special,90,100,10,3
305,Poison Fang,Has a 30% chance to inflict Toxic poison on the target.,Poison,Physical,50,100,15,3
306,Crush Claw,Has a 50% chance to lower the target's Defense by 1 stage.,Normal,Physical,75,95,10,3
307,Blast Burn,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Fire,Special,150,90,5,3
308,Hydro Cannon,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Water,Special,150,90,5,3
309,Meteor Mash,Has a 20% chance to raise the user's Attack by 1 stage.,Steel,Physical,90,0,10,3
310,Astonish,Has a 30% chance to make the target flinch.,Ghost,Physical,30,100,15,3
311,Weather Ball,Base power is 50; Base power doubles and move's type changes during weather effects: becomes Fire-type during Sunny Day Water-type during Rain Dance Ice-type during Hail and Rock-type during Sandstorm.,Normal,Special,50,100,10,3
312,Aromatherapy,Every Pokemon in the user's party is cured of status conditions. Lists every Pokemon that was healed and what status condition was cured. ,Grass,Status,0,0,5,3
313,Fake Tears,Lowers the target's Special Defense by 2 stages.,Dark,Status,0,100,20,3
314,Air Cutter,Has a high critical hit ratio.,Flying,Special,60,95,25,3
315,Overheat,Lowers the user's Special Attack by 2 stages after use.,Fire,Special,130,90,5,3
316,Odor Sleuth,Until the target faints or switches the user's Accuracy modifiers and the target's Evasion modifiers are ignored. Ghost-type targets also lose their immunities against Normal-type and Fighting-type moves.,Normal,Status,0,0,40,3
317,Rock Tomb,Lowers the target's Speed by 1 stage.,Rock,Physical,60,0,15,3
318,Silver Wind,Has a 10% chance to raise all of the user's stats by 1 stage.,Bug,Special,60,100,5,3
319,Metal Sound,Lowers the target's Special Defense by 2 stages.,Steel,Status,0,85,40,3
320,Grass Whistle,Puts the target to sleep.,Grass,Status,0,55,15,3
321,Tickle,Lowers the target's Attack and Defense by 1 stage each.,Normal,Status,0,100,20,3
322,Cosmic Power,Raises the user's Defense and Special Defense by 1 stage each.,Psychic,Status,0,0,20,3
323,Water Spout,Base power decreases as the user's HP decreases.,Water,Special,150,100,5,3
324,Signal Beam,Has a 10% chance to confuse the target.,Bug,Special,75,100,15,3
325,Shadow Punch,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Ghost,Physical,60,0,20,3
326,Extrasensory,Has a 10% chance to make the target flinch.,Psychic,Special,80,100,20,3
327,Sky Uppercut,Also hits targets in mid-air via Fly or Bounce.,Fighting,Physical,85,90,15,3
328,Sand Tomb,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Ground,Physical,35,0,15,3
329,Sheer Cold,The target faints; doesn't work on higher-leveled Pokemon.,Ice,Special,0,0,5,3
330,Muddy Water,Lowers the target's Accuracy by 1 stage.,Water,Special,90,85,10,3
331,Bullet Seed,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Grass,Physical,25,100,30,3
332,Aerial Ace,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Flying,Physical,60,0,20,3
333,Icicle Spear,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Ice,Physical,25,100,30,3
334,Iron Defense,Raises the user's Defense by 2 stages.,Steel,Status,0,0,15,3
335,Block,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.,Normal,Status,0,0,5,3
336,Howl,Raises the user's Attack by 1 stage.,Normal,Status,0,0,40,3
337,Dragon Claw,Deals damage with no additional effect.,Dragon,Physical,80,100,15,3
338,Frenzy Plant,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Grass,Special,150,90,5,3
339,Bulk Up,Raises the user's Attack and Defense by 1 stage each.,Fighting,Status,0,0,20,3
340,Bounce,On the first turn the user bounces into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user descends and has a 30% chance to paralyze the target.,Flying,Physical,85,85,5,3
341,Mud Shot,Lowers the target's Speed by 1 stage.,Ground,Special,55,95,15,3
342,Poison Tail,Has a high critical hit ratio and a 10% chance to poison the target.,Poison,Physical,50,100,25,3
343,Covet,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. Recycle cannot recover the stolen item.,Normal,Physical,60,100,25,3
344,Volt Tackle,The user receives 1/3 recoil damage; has a 10% chance to paralyze the target.,Electric,Physical,120,100,15,3
345,Magical Leaf,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Grass,Special,60,0,20,3
346,Water Sport,All Fire-type moves are 50% weaker until the user switches out.,Water,Status,0,0,15,3
347,Calm Mind,Raises the user's Special Attack and Special Defense by 1 stage each.,Psychic,Status,0,0,20,3
348,Leaf Blade,Has a high critical hit ratio.,Grass,Physical,90,100,15,3
349,Dragon Dance,Raises the user's Attack and Speed by 1 stage each.,Dragon,Status,0,0,20,3
350,Rock Blast,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Rock,Physical,25,0,10,3
351,Shock Wave,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Electric,Special,60,0,20,3
352,Water Pulse,Has a 20% chance to confuse the target.,Water,Special,60,100,20,3
353,Doom Desire,This move even if the user and/or the target switch out will strike the active target at the end of the second turn after its use.  Only one instance of Doom Desire or Future Sight may be active at a time.,Steel,Special,140,0,5,3
354,Psycho Boost,Lowers the user's Special Attack by 2 stages after use.,Psychic,Special,140,90,5,3
355,Roost,,Flying,Status,0,0,10,4
356,Gravity,,Psychic,Status,0,0,5,4
357,Miracle Eye,,Psychic,Status,0,0,40,4
358,Wake-Up Slap,,Fighting,Physical,70,100,10,4
359,Hammer Arm,,Fighting,Physical,100,90,10,4
360,Gyro Ball,,Steel,Physical,0,100,5,4
361,Healing Wish,,Psychic,Status,0,0,10,4
362,Brine,,Water,Special,65,100,10,4
363,Natural Gift,,Normal,Physical,0,100,15,4
364,Feint,,Normal,Physical,30,100,10,4
365,Pluck,,Flying,Physical,60,100,20,4
366,Tailwind,,Flying,Status,0,0,15,4
367,Acupressure,,Normal,Status,0,0,30,4
368,Metal Burst,,Steel,Physical,0,100,10,4
369,U-turn,,Bug,Physical,70,100,20,4
370,Close Combat,,Fighting,Physical,120,100,5,4
371,Payback,,Dark,Physical,50,100,10,4
372,Assurance,,Dark,Physical,60,100,10,4
373,Embargo,,Dark,Status,0,100,15,4
374,Fling,,Dark,Physical,0,100,10,4
375,Psycho Shift,,Psychic,Status,0,0,10,4
376,Trump Card,,Normal,Special,0,0,5,4
377,Heal Block,,Psychic,Status,0,100,15,4
378,Wring Out,,Normal,Special,0,100,5,4
379,Power Trick,,Psychic,Status,0,0,10,4
380,Gastro Acid,,Poison,Status,0,100,10,4
381,Lucky Chant,,Normal,Status,0,0,30,4
382,Me First,,Normal,Status,0,0,20,4
383,Copycat,,Normal,Status,0,0,20,4
384,Power Swap,,Psychic,Status,0,0,10,4
385,Guard Swap,,Psychic,Status,0,0,10,4
386,Punishment,,Dark,Physical,0,100,5,4
387,Last Resort,,Normal,Physical,140,100,5,4
388,Worry Seed,,Grass,Status,0,100,10,4
389,Sucker Punch,,Dark,Physical,70,100,5,4
390,Toxic Spikes,,Poison,Status,0,0,20,4
391,Heart Swap,,Psychic,Status,0,0,10,4
392,Aqua Ring,,Water,Status,0,0,20,4
393,Magnet Rise,,Electric,Status,0,0,10,4
394,Flare Blitz,,Fire,Physical,120,100,15,4
395,Force Palm,,Fighting,Physical,60,100,10,4
396,Aura Sphere,,Fighting,Special,80,0,20,4
397,Rock Polish,,Rock,Status,0,0,20,4
398,Poison Jab,,Poison,Physical,80,100,20,4
399,Dark Pulse,,Dark,Special,80,100,15,4
400,Night Slash,,Dark,Physical,70,100,15,4
401,Aqua Tail,,Water,Physical,90,90,10,4
402,Seed Bomb,,Grass,Physical,80,100,15,4
403,Air Slash,,Flying,Special,75,95,15,4
404,X-Scissor,,Bug,Physical,80,100,15,4
405,Bug Buzz,,Bug,Special,90,100,10,4
406,Dragon Pulse,,Dragon,Special,85,100,10,4
407,Dragon Rush,,Dragon,Physical,100,75,10,4
408,Power Gem,,Rock,Special,80,100,20,4
409,Drain Punch,,Fighting,Physical,75,100,10,4
410,Vacuum Wave,,Fighting,Special,40,100,30,4
411,Focus Blast,,Fighting,Special,120,70,5,4
412,Energy Ball,,Grass,Special,90,100,10,4
413,Brave Bird,,Flying,Physical,120,100,15,4
414,Earth Power,,Ground,Special,90,100,10,4
415,Switcheroo,,Dark,Status,0,100,10,4
416,Giga Impact,,Normal,Physical,150,90,5,4
417,Nasty Plot,,Dark,Status,0,0,20,4
418,Bullet Punch,,Steel,Physical,40,100,30,4
419,Avalanche,,Ice,Physical,60,100,10,4
420,Ice Shard,,Ice,Physical,40,100,30,4
421,Shadow Claw,,Ghost,Physical,70,100,15,4
422,Thunder Fang,,Electric,Physical,65,95,15,4
423,Ice Fang,,Ice,Physical,65,95,15,4
424,Fire Fang,,Fire,Physical,65,95,15,4
425,Shadow Sneak,,Ghost,Physical,40,100,30,4
426,Mud Bomb,,Ground,Special,65,85,10,4
427,Psycho Cut,,Psychic,Physical,70,100,20,4
428,Zen Headbutt,,Psychic,Physical,80,90,15,4
429,Mirror Shot,,Steel,Special,65,85,10,4
430,Flash Cannon,,Steel,Special,80,100,10,4
431,Rock Climb,,Normal,Physical,90,85,20,4
432,Defog,,Flying,Status,0,0,15,4
433,Trick Room,,Psychic,Status,0,0,5,4
434,Draco Meteor,,Dragon,Special,130,90,5,4
435,Discharge,,Electric,Special,80,100,15,4
436,Lava Plume,,Fire,Special,80,100,15,4
437,Leaf Storm,,Grass,Special,130,90,5,4
438,Power Whip,,Grass,Physical,120,85,10,4
439,Rock Wrecker,,Rock,Physical,150,90,5,4
440,Cross Poison,,Poison,Physical,70,100,20,4
441,Gunk Shot,,Poison,Physical,120,0,5,4
442,Iron Head,,Steel,Physical,80,100,15,4
443,Magnet Bomb,,Steel,Physical,60,0,20,4
444,Stone Edge,,Rock,Physical,100,80,5,4
445,Captivate,,Normal,Status,0,100,20,4
446,Stealth Rock,,Rock,Status,0,0,20,4
447,Grass Knot,,Grass,Special,0,100,20,4
448,Chatter,,Flying,Special,65,100,20,4
449,Judgment,,Normal,Special,100,100,10,4
450,Bug Bite,,Bug,Physical,60,100,20,4
451,Charge Beam,,Electric,Special,50,90,10,4
452,Wood Hammer,,Grass,Physical,120,100,15,4
453,Aqua Jet,,Water,Physical,40,100,20,4
454,Attack Order,,Bug,Physical,90,100,15,4
455,Defend Order,,Bug,Status,0,0,10,4
456,Heal Order,,Bug,Status,0,0,10,4
457,Head Smash,,Rock,Physical,150,80,5,4
458,Double Hit,,Normal,Physical,35,90,10,4
459,Roar of Time,,Dragon,Special,150,90,5,4
460,Spacial Rend,,Dragon,Special,100,95,5,4
461,Lunar Dance,,Psychic,Status,0,0,10,4
462,Crush Grip,,Normal,Physical,0,100,5,4
463,Magma Storm,,Fire,Special,100,0,5,4
464,Dark Void,,Dark,Status,0,0,10,4
465,Seed Flare,,Grass,Special,120,85,5,4
466,Ominous Wind,,Ghost,Special,60,100,5,4
467,Shadow Force,,Ghost,Physical,120,100,5,4
468,Hone Claws,,Dark,Status,0,0,15,5
469,Wide Guard,,Rock,Status,0,0,10,5
470,Guard Split,,Psychic,Status,0,0,10,5
471,Power Split,,Psychic,Status,0,0,10,5
472,Wonder Room,,Psychic,Status,0,0,10,5
473,Psyshock,,Psychic,Special,80,100,10,5
474,Venoshock,,Poison,Special,65,100,10,5
475,Autotomize,,Steel,Status,0,0,15,5
476,Rage Powder,,Bug,Status,0,0,20,5
477,Telekinesis,,Psychic,Status,0,0,15,5
478,Magic Room,,Psychic,Status,0,0,10,5
479,Smack Down,,Rock,Physical,50,100,15,5
480,Storm Throw,,Fighting,Physical,60,100,10,5
481,Flame Burst,,Fire,Special,70,100,15,5
482,Sludge Wave,,Poison,Special,95,100,10,5
483,Quiver Dance,,Bug,Status,0,0,20,5
484,Heavy Slam,,Steel,Physical,0,100,10,5
485,Synchronoise,,Psychic,Special,120,100,10,5
486,Electro Ball,,Electric,Special,0,100,10,5
487,Soak,,Water,Status,0,100,20,5
